time_of_day,district,total_request,dispatched_request,total_GMV,avg_trip_factor,driver_cancel_before_accept,driver_cancel_after_accept,driver_ask_rider_cancel,cancel_rate
Day Off Peak,Gò Vấp,1507,1383,29338802,1.238297872,30,186,5,0.1466489715
Day Off Peak,Tân Bình,1906,1780,36793731,1.26955836,78,233,3,0.1647429171
Day Off Peak,Nhà Bè,278,206,4919375,1.158333333,1,14,0,0.05395683453
Day Off Peak,Quận 7,1782,1614,34545741,1.208333333,7,150,4,0.09034792368
Day Off Peak,Phú Nhuận,1018,946,18767603,1.301545254,10,113,2,0.1227897839
Day Off Peak,Quận 1,3404,3249,66570317,1.319929453,60,323,9,0.1151586369
Day Off Peak,Quận 6,349,331,6577855,1.145454545,2,31,0,0.09455587393
Day Off Peak,Thủ Đức,790,695,17259122,1.133333333,3,73,0,0.09620253165
Day Off Peak,Bình Thạnh,2926,2757,53965400,1.25750736,28,347,3,0.1291866029
Day Off Peak,Quận 2,1004,928,21666195,1.224309392,5,113,1,0.1185258964
Day Off Peak,Củ Chi,7,2,137126,,0,0,0,0
Evening Off Peak,Phú Nhuận,1206,1093,24327055,1.308852459,10,120,1,0.1086235489
Evening Off Peak,Hóc Môn,210,98,2439253,1.2,0,14,0,0.06666666667
Evening Off Peak,Bình Thạnh,3207,2943,59695299,1.272708114,34,343,6,0.1194262551
Evening Off Peak,Quận 4,904,814,16717394,1.34505814,18,71,6,0.1050884956
Evening Off Peak,Tân Bình,2301,2078,44509707,1.332715232,59,257,0,0.137331595
Evening Off Peak,Quận 9,650,461,12057926,1.236,2,51,0,0.08153846154
Evening Off Peak,Gò Vấp,1547,1405,30682411,1.258119658,16,174,2,0.1241111829
Evening Off Peak,Thủ Đức,922,796,17865254,1.252,5,102,2,0.1182212581
Evening Off Peak,Quận 7,2036,1843,41408157,1.296515679,14,182,5,0.09872298625
Evening Off Peak,Quận 5,1191,1121,23134413,1.281541219,2,152,0,0.1293031066
Evening Off Peak,Quận 3,2068,1921,38140304,1.310646042,27,334,9,0.1789168279
Evening Off Peak,Quận 11,482,447,8756033,1.378571429,4,59,1,0.132780083
Evening Off Peak,Quận 12,594,470,10121105,1.225,1,67,0,0.1144781145
Evening Off Peak,Quận 6,435,382,7330218,1.318,5,40,1,0.1057471264
Evening Off Peak,Quận 1,4179,3955,85040318,1.373802459,109,580,11,0.1675041876
Evening Off Peak,Nhà Bè,234,173,4364271,1.242105263,0,9,0,0.03846153846
Evening Off Peak,Củ Chi,11,1,,,0,0,0,0
Evening Off Peak,Tan Phu,1035,931,20041599,1.305376344,8,115,0,0.1188405797
Evening Off Peak,Quận 2,1190,1055,24729695,1.240123457,2,103,3,0.09075630252
Evening Off Peak,Binh Tan,805,639,14094133,1.344067797,10,91,0,0.1254658385
Evening Off Peak,Quận 10,1935,1825,35642955,1.310545455,35,253,6,0.1519379845
Evening Off Peak,Quận 8,696,590,12676467,1.250442478,3,56,1,0.08620689655
Evening Off Peak,Bình Chánh,498,314,6090934,1.2,1,37,0,0.07630522088
Evening Off Peak,Gò Vấp,1148,1062,23472025,1.196969697,9,93,0,0.08885017422
Evening Off Peak,Quận 9,482,350,8751957,1.166666667,1,38,0,0.08091286307
Evening Off Peak,Quận 12,496,368,8847056,1.177777778,6,56,1,0.127016129
Evening Off Peak,Nhà Bè,264,138,3537955,,0,8,0,0.0303030303
Evening Off Peak,Bình Thạnh,2375,2223,44564771,1.163670412,9,226,4,0.1006315789
Evening Off Peak,Thủ Đức,646,571,13590457,,2,56,0,0.08978328173
Evening Off Peak,Quận 4,622,571,11451571,1.140540541,2,51,1,0.08681672026
Evening Off Peak,Quận 10,1773,1665,30511165,1.20152027,13,285,2,0.1692047377
Evening Off Peak,Quận 6,273,232,3886927,1.175,1,22,0,0.08424908425
Evening Off Peak,Quận 7,1411,1265,28714577,1.197340426,6,120,1,0.09000708717
Evening Off Peak,Quận 2,811,730,17643393,1.19,2,84,1,0.1072749692
Evening Off Peak,Quận 5,829,794,16322775,1.194358974,6,70,0,0.09167671894
Evening Off Peak,Binh Tan,615,503,11534156,1.2,3,60,0,0.1024390244
Evening Off Peak,Củ Chi,12,2,10226,,0,0,0,0
Evening Off Peak,Quận 11,379,352,6886607,1.219148936,1,35,1,0.09762532982
Evening Off Peak,Quận 1,3296,3116,62515383,1.228439059,40,403,16,0.1392597087
Evening Off Peak,Quận 8,456,406,9365857,1.162962963,4,34,0,0.08333333333
Evening Off Peak,Phú Nhuận,790,738,15318337,1.211522634,4,64,3,0.08987341772
Evening Off Peak,Tân Bình,1541,1436,29879517,1.181904762,12,182,2,0.1271901363
Evening Off Peak,Quận 3,1631,1533,28273030,1.236918138,16,265,6,0.1759656652
Evening Off Peak,Bình Chánh,278,194,4372550,1.111111111,1,12,0,0.04676258993
Evening Off Peak,Hóc Môn,137,72,2168664,1.25,0,3,0,0.02189781022
Evening Off Peak,Tan Phu,816,769,15173070,1.154545455,7,94,0,0.1237745098
Evening Off Peak,Thủ Đức,847,640,13839579,1.175,2,86,0,0.1038961039
Evening Off Peak,Quận 12,483,299,5870203,1.25,5,53,1,0.1221532091
Evening Off Peak,Củ Chi,18,1,,,0,0,0,0
Evening Off Peak,Quận 5,780,746,14251840,1.247670251,7,105,0,0.1435897436
Evening Off Peak,Quận 2,822,693,15381975,1.178888889,3,89,2,0.1143552311
Evening Off Peak,Quận 9,521,373,8412549,1.188888889,3,60,0,0.1209213052
Evening Off Peak,Quận 10,1587,1471,29624333,1.363346105,15,199,1,0.1354757404
Evening Off Peak,Hóc Môn,147,51,1357030,1.2,0,7,0,0.04761904762
Evening Off Peak,Binh Tan,515,394,9022795,1.207692308,2,53,0,0.1067961165
Evening Off Peak,Quận 8,392,354,7105134,1.181818182,1,35,0,0.09183673469
Evening Off Peak,Nhà Bè,164,113,2977575,1.15,0,13,0,0.07926829268
Evening Off Peak,Quận 1,3575,3309,69201418,1.425758382,44,584,22,0.1818181818
Evening Off Peak,Tân Bình,1535,1428,31514161,1.280678851,46,192,2,0.1563517915
Evening Off Peak,Quận 6,282,245,4256303,1.216666667,1,25,0,0.09219858156
Evening Off Peak,Tan Phu,920,859,16779696,1.163541667,9,127,0,0.147826087
Evening Off Peak,Quận 7,1287,1177,23966890,1.232173913,8,129,6,0.1111111111
Evening Off Peak,Gò Vấp,1274,1153,23502194,1.19125,11,152,1,0.1287284144
Evening Off Peak,Phú Nhuận,881,809,16940556,1.310569106,6,95,1,0.1157775255
Evening Off Peak,Quận 4,629,580,10846922,1.183571429,9,78,1,0.1399046105
Evening Off Peak,Bình Thạnh,2080,1977,38809143,1.201932367,5,246,4,0.1225961538
Evening Off Peak,Quận 11,324,306,5950029,1.253409091,0,36,0,0.1111111111
Evening Off Peak,Quận 3,1589,1454,28668448,1.430152672,16,301,3,0.2013845186
Evening Off Peak,Bình Chánh,245,179,3782795,1.138461538,0,17,0,0.0693877551
Evening Off Peak,Quận 1,2349,2215,67384104,1.499388112,12,270,6,0.122605364
Evening Off Peak,Tân Bình,1065,967,29772655,1.346687697,59,108,1,0.1577464789
Evening Off Peak,Phú Nhuận,555,512,15350638,1.300840336,3,58,1,0.1117117117
Evening Off Peak,Binh Tan,394,312,9740163,1.222222222,7,31,0,0.09644670051
Evening Off Peak,Thủ Đức,417,338,9342394,1.142857143,10,37,0,0.1127098321
Evening Off Peak,Quận 11,191,184,4831663,1.247222222,1,20,0,0.109947644
Evening Off Peak,Tan Phu,497,463,13377100,1.257894737,8,46,0,0.1086519115
Evening Off Peak,Hóc Môn,73,38,1387237,,0,4,0,0.05479452055
Evening Off Peak,Củ Chi,7,3,168964,,0,0,0,0
Evening Off Peak,Quận 9,214,165,4718851,1.15,1,14,0,0.07009345794
Evening Off Peak,Nhà Bè,125,89,2560133,1.2,0,11,0,0.088
Evening Off Peak,Quận 2,499,427,13080392,1.241025641,3,61,0,0.128256513
Evening Off Peak,Quận 12,249,201,5615313,1.3,4,30,0,0.1365461847
Evening Off Peak,Gò Vấp,751,693,20418392,1.214606742,9,53,0,0.08255659121
Evening Off Peak,Quận 8,326,272,7250787,1.154545455,0,25,0,0.07668711656
Evening Off Peak,Bình Chánh,154,109,2916075,1.142857143,1,12,0,0.08441558442
Evening Off Peak,Quận 6,160,149,3966226,1.257142857,3,22,0,0.15625
Evening Off Peak,Quận 5,475,453,11790262,1.262222222,1,38,3,0.08842105263
Evening Off Peak,Bình Thạnh,1303,1215,34576127,1.206926407,3,106,2,0.08518802763
Evening Off Peak,Quận 10,839,779,21682048,1.333431953,1,87,1,0.1060786651
Evening Off Peak,Quận 7,733,686,19882326,1.211711712,0,57,1,0.07912687585
Evening Off Peak,Quận 4,385,349,10064243,1.20462963,1,33,1,0.09090909091
Evening Off Peak,Quận 3,948,892,25966294,1.419624217,3,134,2,0.1466244726
Evening Peak,Hóc Môn,216,126,4013532,1.133333333,1,11,1,0.06018518519
Evening Peak,Quận 6,581,510,9732468,1.218181818,1,59,0,0.1032702238
Evening Peak,Quận 4,1151,1042,20191749,1.344444444,18,124,4,0.1268462207
Evening Peak,Tan Phu,1728,1465,30684937,1.344966443,14,154,5,0.1001157407
Evening Peak,Binh Tan,888,691,17198270,1.187096774,5,77,0,0.09234234234
Evening Peak,Bình Chánh,615,370,9406871,1.278787879,1,33,0,0.05528455285
Evening Peak,Quận 7,2685,2306,51025004,1.271410091,12,240,6,0.09608938547
Evening Peak,Quận 9,1256,763,17169977,1.14,11,110,1,0.09713375796
Evening Peak,Quận 8,886,750,16239529,1.318103448,4,70,0,0.0835214447
Evening Peak,Quận 3,3383,2788,52908613,1.519245774,56,354,6,0.1229677801
Evening Peak,Gò Vấp,2301,1826,34791272,1.308823529,54,244,2,0.1303780965
Evening Peak,Bình Thạnh,4016,3624,73980939,1.340063898,34,433,5,0.1175298805
Evening Peak,Quận 1,5681,5001,106995742,1.536435501,151,768,13,0.164055624
Evening Peak,Quận 12,1010,703,16165072,1.205063291,20,82,0,0.100990099
Evening Peak,Quận 10,3135,2800,58119267,1.560915033,47,388,6,0.1406698565
Evening Peak,Thủ Đức,1187,933,19675177,1.142857143,16,118,3,0.1154170177
Evening Peak,Nhà Bè,363,231,6026526,1.254545455,3,10,0,0.03581267218
Evening Peak,Tân Bình,3109,2697,54871484,1.42056294,116,330,4,0.1447410743
Evening Peak,Phú Nhuận,1836,1586,32497803,1.448619448,66,201,4,0.1476034858
Evening Peak,Quận 11,653,581,11495949,1.391970803,2,51,2,0.08422664625
Evening Peak,Quận 5,2063,1944,44124907,1.443939394,20,261,4,0.1381483277
Evening Peak,Quận 2,1624,1331,32070373,1.243478261,1,124,4,0.07943349754
Evening Peak,Củ Chi,18,7,186396,,0,0,0,0
Evening Peak,Quận 10,3430,3098,68105730,1.644245927,73,425,6,0.1469387755
Evening Peak,Nhà Bè,370,270,6386470,1.288461538,1,27,0,0.07567567568
Evening Peak,Quận 12,1033,673,15012359,1.27,12,82,3,0.09390125847
Evening Peak,Quận 8,1202,940,20188516,1.35942029,7,117,1,0.1039933444
Evening Peak,Tan Phu,1929,1658,35116275,1.392177314,43,203,4,0.1296008294
Evening Peak,Binh Tan,1059,867,22088871,1.231967213,5,105,0,0.103871577
Evening Peak,Tân Bình,4388,3603,72554058,1.623247454,400,470,3,0.1989516864
Evening Peak,Quận 9,1453,891,23266686,1.230508475,12,87,0,0.06813489332
Evening Peak,Quận 11,750,687,15185813,1.476691729,13,109,1,0.164
Evening Peak,Củ Chi,10,4,10226,,0,0,0,0
Evening Peak,Quận 6,637,577,11595317,1.251578947,8,55,2,0.1020408163
Evening Peak,Quận 4,1552,1340,24491990,1.465007112,65,211,2,0.1791237113
Evening Peak,Thủ Đức,1746,1241,23253018,1.234975369,37,158,0,0.1116838488
Evening Peak,Gò Vấp,2612,2112,42881949,1.391454965,57,257,3,0.1213629403
Evening Peak,Quận 2,2044,1619,41658252,1.354221388,12,180,3,0.09540117417
Evening Peak,Quận 1,8547,7041,143343054,1.927884332,598,1376,9,0.232011232
Evening Peak,Phú Nhuận,2209,1845,38954664,1.699895942,181,241,4,0.1928474423
Evening Peak,Quận 3,4316,3314,62843427,1.798498123,175,547,14,0.1705282669
Evening Peak,Quận 5,2207,2078,48161368,1.539035418,22,326,2,0.1585863163
Evening Peak,Quận 7,3412,2862,68034124,1.395425868,22,291,6,0.09349355217
Evening Peak,Bình Chánh,683,438,9476376,1.352173913,1,33,1,0.05124450952
Evening Peak,Bình Thạnh,5929,5012,100093100,1.507376741,99,899,7,0.1695058189
Evening Peak,Hóc Môn,203,109,2795455,1.257142857,0,14,0,0.06896551724
Evening Peak,Quận 6,465,432,8395794,1.263934426,5,46,1,0.111827957
Evening Peak,Bình Thạnh,5544,4696,99907025,1.490451249,64,736,13,0.1466450216
Evening Peak,Quận 7,2912,2503,62650018,1.474792013,25,225,3,0.08688186813
Evening Peak,Quận 4,1566,1358,26627849,1.508150065,24,178,8,0.1340996169
Evening Peak,Nhà Bè,350,247,6141116,1.275,0,25,0,0.07142857143
Evening Peak,Bình Chánh,550,359,8312818,1.32278481,2,39,1,0.07636363636
Evening Peak,Quận 11,691,623,15006497,1.407361963,8,57,1,0.09551374819
Evening Peak,Tân Bình,3684,3155,72287198,1.519534884,346,395,4,0.2022258415
Evening Peak,Gò Vấp,1932,1693,37292797,1.331826401,28,226,5,0.134057971
Evening Peak,Quận 3,3137,2686,61312297,1.669689592,62,523,7,0.1887153331
Evening Peak,Phú Nhuận,1830,1621,38716369,1.588967611,78,206,2,0.156284153
Evening Peak,Quận 12,872,553,13858662,1.235,7,75,1,0.09518348624
Evening Peak,Quận 5,1416,1343,30566160,1.48869814,10,175,0,0.1306497175
Evening Peak,Thủ Đức,1246,925,19301850,1.254782609,21,117,2,0.1123595506
Evening Peak,Quận 8,882,774,17257259,1.324736842,4,86,1,0.1031746032
Evening Peak,Quận 1,8455,7139,157418358,1.902653224,155,1315,13,0.1753991721
Evening Peak,Tan Phu,1452,1291,26148544,1.399186992,58,162,4,0.1542699725
Evening Peak,Quận 10,2780,2577,57512076,1.507858911,44,435,7,0.1748201439
Evening Peak,Quận 9,916,597,15045526,1.276470588,3,79,2,0.09170305677
Evening Peak,Binh Tan,903,773,18806407,1.295505618,3,95,0,0.1085271318
Evening Peak,Quận 2,2303,1662,42041264,1.378290366,12,172,5,0.0820668693
Evening Peak,Củ Chi,37,0,,,0,0,0,0
Evening Peak,Hóc Môn,193,102,2988256,1.275,0,17,0,0.08808290155
Morning Peak,Quận 2,1143,687,18336239,1.501607717,5,74,0,0.06911636045
Morning Peak,Bình Chánh,471,250,6724123,1.298901099,0,15,0,0.03184713376
Morning Peak,Quận 7,1708,1286,33198859,1.411400651,0,72,2,0.04332552693
Morning Peak,Quận 12,642,391,11412478,1.290540541,4,31,0,0.05451713396
Morning Peak,Quận 6,315,279,6222105,1.321875,0,22,3,0.07936507937
Morning Peak,Gò Vấp,1319,946,25524696,1.394891945,17,82,4,0.07808946171
Morning Peak,Nhà Bè,324,214,5191214,1.293333333,0,12,1,0.04012345679
Morning Peak,Quận 11,262,224,5572953,1.414925373,0,23,0,0.08778625954
Morning Peak,Quận 3,711,672,13923092,1.302234637,0,23,0,0.0323488045
Morning Peak,Binh Tan,900,611,17099445,1.343192488,1,64,0,0.07222222222
Morning Peak,Quận 5,874,828,17303393,1.292517007,0,26,0,0.02974828375
Morning Peak,Quận 8,778,607,15389687,1.315057915,1,23,0,0.03084832905
Morning Peak,Quận 10,1003,942,19276957,1.30432526,1,41,0,0.04187437687
Morning Peak,Quận 9,967,641,16225658,1.320805369,2,69,0,0.0734229576
Morning Peak,Quận 1,1071,1006,21759469,1.276415094,1,36,1,0.03548085901
Morning Peak,Thủ Đức,1111,716,19043749,1.325270758,30,89,1,0.1080108011
Morning Peak,Hóc Môn,183,116,2738191,1.266666667,0,7,0,0.03825136612
Morning Peak,Tân Bình,1255,1105,25866717,1.406050955,1,88,3,0.07330677291
Morning Peak,Phú Nhuận,495,459,10021309,1.381060606,0,26,0,0.05252525253
Morning Peak,Củ Chi,5,0,,,0,0,0,0
Morning Peak,Bình Thạnh,2443,2184,54011094,1.450900901,59,146,1,0.08432255424
Morning Peak,Quận 4,494,449,11694199,1.314855072,0,14,0,0.02834008097
Morning Peak,Tan Phu,823,709,16291977,1.401749271,0,64,0,0.07776427704
Morning Peak,Quận 9,1133,778,23884566,1.264,3,60,0,0.05560458959
Morning Peak,Quận 8,945,746,18344184,1.248101266,0,44,0,0.04656084656
Morning Peak,Binh Tan,923,692,19871556,1.24822335,1,58,0,0.0639219935
Morning Peak,Quận 10,1713,1614,30045723,1.24223301,1,138,1,0.08172796264
Morning Peak,Quận 1,1803,1724,31161348,1.236936937,2,87,3,0.05102606767
Morning Peak,Bình Thạnh,3807,3172,72514080,1.423653017,38,198,4,0.06304176517
Morning Peak,Quận 2,2540,1343,33353637,1.595163807,3,97,1,0.03976377953
Morning Peak,Quận 4,745,665,15227427,1.301861702,0,15,0,0.02013422819
Morning Peak,Quận 12,939,641,16676160,1.22875,1,43,1,0.04792332268
Morning Peak,Tân Bình,2149,1803,39618173,1.354845155,4,142,1,0.06840390879
Morning Peak,Quận 11,505,454,9611807,1.314112903,0,19,0,0.03762376238
Morning Peak,Phú Nhuận,825,746,16862999,1.345454545,1,45,0,0.05575757576
Morning Peak,Nhà Bè,704,339,7878614,1.31037037,1,19,0,0.02840909091
Morning Peak,Quận 7,2420,1878,48513992,1.405856256,11,109,3,0.05082644628
Morning Peak,Bình Chánh,439,315,7107546,1.266153846,0,19,0,0.04328018223
Morning Peak,Tan Phu,1198,962,22326409,1.327391304,5,58,0,0.05258764608
Morning Peak,Quận 6,434,391,10222712,1.235632184,0,18,0,0.04147465438
Morning Peak,Hóc Môn,199,154,4475591,1.227272727,0,10,0,0.05025125628
Morning Peak,Gò Vấp,2170,1521,37165889,1.377407848,17,110,0,0.05852534562
Morning Peak,Quận 5,1180,1126,24058130,1.235687732,0,60,0,0.05084745763
Morning Peak,Củ Chi,9,1,,,0,0,0,0
Morning Peak,Quận 3,1204,1136,20311548,1.271772429,2,63,0,0.05398671096
Morning Peak,Thủ Đức,1324,946,26566300,1.309090909,2,75,0,0.0581570997
Morning Peak,Tan Phu,1175,1000,24065136,1.265375303,12,57,0,0.05872340426
Morning Peak,Quận 8,984,810,19853224,1.228746177,0,38,0,0.03861788618
Morning Peak,Củ Chi,11,1,19522,,0,0,0,0
Morning Peak,Thủ Đức,1228,869,22669900,1.254545455,4,55,0,0.04804560261
Morning Peak,Quận 5,1279,1206,25176509,1.215353535,3,76,0,0.06176700547
Morning Peak,Quận 3,1762,1645,27787872,1.24040404,0,84,1,0.04824063564
Morning Peak,Bình Thạnh,4337,3735,84682488,1.435503437,25,333,3,0.08323726078
Morning Peak,Nhà Bè,779,260,7122065,1.282926829,1,7,0,0.01026957638
Morning Peak,Quận 12,748,580,16364889,1.175675676,4,40,1,0.06016042781
Morning Peak,Gò Vấp,1809,1427,36986846,1.294382022,21,89,1,0.06135986733
Morning Peak,Quận 9,777,505,17124043,1.216176471,1,21,1,0.0296010296
Morning Peak,Quận 4,1134,1021,19723589,1.216582064,18,89,0,0.09435626102
Morning Peak,Quận 7,2420,1773,45777675,1.328291317,9,133,5,0.06074380165
Morning Peak,Phú Nhuận,1254,1133,24330660,1.292717815,7,76,6,0.07097288676
Morning Peak,Quận 10,2064,1955,36369826,1.209846827,2,136,1,0.06734496124
Morning Peak,Bình Chánh,495,333,8202147,1.264197531,2,19,1,0.04444444444
Morning Peak,Quận 6,486,451,12706426,1.202409639,6,24,0,0.06172839506
Morning Peak,Quận 11,461,438,9882746,1.252968037,0,31,1,0.0694143167
Morning Peak,Binh Tan,755,615,18464984,1.197,10,29,2,0.05430463576
Morning Peak,Quận 1,2744,2611,46013562,1.238770686,7,134,1,0.05174927114
Morning Peak,Tân Bình,2345,2107,49317904,1.268650461,9,111,4,0.05287846482
Morning Peak,Quận 2,2200,1485,39045272,1.428917197,5,121,2,0.05818181818
Morning Peak,Hóc Môn,152,108,3086819,,0,6,0,0.03947368421
Night,Quận 8,120,97,2130629,1.23,0,18,0,0.15
Night,Quận 9,53,34,1104436,,1,7,0,0.1509433962
Night,Thủ Đức,100,54,1724240,1.25,0,6,0,0.06
Night,Hóc Môn,30,4,179419,,0,1,0,0.03333333333
Night,Quận 6,43,39,812473,1.25,1,6,0,0.1627906977
Night,Bình Chánh,81,34,1107973,1.233333333,0,2,0,0.02469135802
Night,Bình Thạnh,385,360,7973541,1.214634146,1,38,1,0.1038961039
Night,Quận 5,160,153,3627737,1.268421053,0,21,0,0.13125
Night,Quận 10,153,144,3844723,1.246428571,0,9,0,0.05882352941
Night,Tan Phu,120,107,2592737,1.245454545,0,15,0,0.125
Night,Phú Nhuận,93,92,2717082,1.205,0,6,0,0.06451612903
Night,Nhà Bè,32,20,551938,,0,3,0,0.09375
Night,Quận 7,670,291,8370539,1.52,0,28,1,0.04328358209
Night,Quận 11,63,61,1145987,1.175,0,12,1,0.2063492063
Night,Quận 2,143,91,2447554,1.185714286,0,7,0,0.04895104895
Night,Quận 12,55,27,503360,,0,1,0,0.01818181818
Night,Củ Chi,6,0,,,0,0,0,0
Night,Gò Vấp,228,195,4701645,1.231818182,0,32,0,0.1403508772
Night,Binh Tan,127,68,1672279,1.2,0,10,0,0.07874015748
Night,Quận 3,193,186,4793020,1.218181818,0,16,0,0.0829015544
Night,Tân Bình,285,264,7412457,1.33255814,22,39,0,0.2140350877
Night,Quận 1,910,865,24562070,1.217916667,0,82,1,0.09120879121
Night,Quận 4,104,96,2121621,1.21875,0,14,0,0.1346153846
Night,Quận 7,129,126,2650843,1.344444444,1,21,0,0.1705426357
Night,Hóc Môn,18,4,,,0,1,0,0.05555555556
Night,Bình Chánh,41,28,482981,1.1,0,6,0,0.1463414634
Night,Tan Phu,61,59,1358021,1.3,0,13,0,0.2131147541
Night,Quận 5,108,108,3073501,1.283333333,0,8,0,0.07407407407
Night,Quận 1,644,618,15887737,1.302222222,0,61,1,0.09627329193
Night,Nhà Bè,25,14,247266,,0,0,0,0
Night,Gò Vấp,106,83,2511593,1.230769231,1,12,0,0.1226415094
Night,Bình Thạnh,185,166,4049333,1.281818182,0,16,0,0.08648648649
Night,Quận 10,113,105,2375797,1.205882353,0,13,0,0.1150442478
Night,Quận 2,88,47,1169579,1.2,0,6,0,0.06818181818
Night,Tân Bình,242,223,5835738,1.584375,9,50,0,0.2438016529
Night,Quận 12,45,18,206075,,1,6,0,0.1555555556
Night,Quận 6,12,11,309748,,0,2,0,0.1666666667
Night,Thủ Đức,56,32,755427,,0,5,0,0.08928571429
Night,Quận 9,32,11,316085,,0,3,0,0.09375
Night,Quận 11,19,19,402433,1.2,0,3,0,0.1578947368
Night,Quận 3,134,126,2920928,1.4,0,19,0,0.1417910448
Night,Quận 4,89,84,1841371,1.272222222,0,7,0,0.07865168539
Night,Phú Nhuận,68,64,1568768,1.275,0,8,0,0.1176470588
Night,Quận 8,59,43,1013304,1.1,0,8,0,0.1355932203
Night,Binh Tan,66,44,1285981,,0,7,0,0.1060606061
Night,Binh Tan,53,32,842697,,0,7,0,0.1320754717
Night,Phú Nhuận,19,18,504222,,0,2,0,0.1052631579
Night,Quận 8,57,35,872629,1.466666667,0,6,0,0.1052631579
Night,Quận 7,112,91,1850468,1.2,0,16,0,0.1428571429
Night,Gò Vấp,86,71,1469581,1.3,0,6,0,0.06976744186
Night,Nhà Bè,29,9,66003,,0,0,0,0
Night,Quận 9,27,10,131078,,0,1,0,0.03703703704
Night,Quận 5,85,82,2315621,1.24,0,4,0,0.04705882353
Night,Quận 11,11,10,246715,1.266666667,0,1,0,0.09090909091
Night,Tân Bình,122,107,3003792,1.392307692,5,12,0,0.1393442623
Night,Bình Thạnh,151,137,2739454,1.166666667,1,16,0,0.1125827815
Night,Hóc Môn,8,0,,,0,0,0,0
Night,Quận 12,24,2,44622,,0,0,0,0
Night,Quận 2,37,16,431455,,0,1,0,0.02702702703
Night,Quận 10,61,59,1430566,1.357142857,0,5,0,0.08196721311
Night,Tan Phu,62,54,1321018,1.2,0,8,0,0.1290322581
Night,Quận 3,61,57,1120446,1.2,0,11,0,0.1803278689
Night,Quận 4,50,48,761757,1.15,0,10,0,0.2
Night,Quận 1,491,475,12048183,1.2375,0,50,1,0.1038696538
Night,Quận 6,19,19,373511,,0,1,0,0.05263157895
Night,Bình Chánh,50,25,486642,,0,5,1,0.12
Night,Thủ Đức,40,26,401098,,0,5,0,0.125
Night,Bình Thạnh,159,152,4290754,1.36,1,17,0,0.1132075472
Night,Quận 9,33,8,214999,,0,1,0,0.0303030303
Night,Quận 3,33,32,815187,,0,3,0,0.09090909091
Night,Quận 6,11,10,355459,1.2,0,2,0,0.1818181818
Night,Quận 8,40,24,531745,,0,5,0,0.125
Night,Quận 1,274,268,7153659,1.2,0,12,0,0.04379562044
Night,Quận 12,28,7,133300,,0,0,0,0
Night,Quận 10,50,48,1132039,1.3,0,3,0,0.06
Night,Quận 5,99,94,2928308,1.2,0,8,0,0.08080808081
Night,Quận 11,23,16,437134,1.3,0,1,0,0.04347826087
Night,Quận 7,51,40,1318731,1.3,0,3,0,0.05882352941
Night,Thủ Đức,57,19,472881,,0,1,0,0.01754385965
Night,Bình Chánh,29,17,436419,1.3,0,2,0,0.06896551724
Night,Phú Nhuận,44,32,629857,,0,5,0,0.1136363636
Night,Nhà Bè,17,5,111852,,0,1,0,0.05882352941
Night,Quận 2,35,12,391481,,0,0,0,0
Night,Tân Bình,74,61,1563664,1.25,2,4,0,0.08108108108
Night,Gò Vấp,66,54,1139583,1.3,0,6,0,0.09090909091
Night,Tan Phu,34,26,798413,,0,0,0,0
Night,Hóc Môn,13,3,,,0,0,0,0
Night,Quận 4,33,31,762572,1.275,0,1,0,0.0303030303
Night,Binh Tan,80,37,1617447,1.35,0,2,0,0.025
Night,Quận 6,29,22,444030,1.2,1,4,0,0.1724137931
Night,Tân Bình,127,108,3443765,1.354545455,0,6,0,0.04724409449
Night,Quận 4,49,49,1182510,1.2,0,7,0,0.1428571429
Night,Tan Phu,93,77,2195983,1.1875,0,7,0,0.0752688172
Night,Phú Nhuận,42,40,1110542,1.2,0,1,0,0.02380952381
Night,Quận 8,73,44,1363030,1.266666667,0,5,0,0.06849315068
Night,Quận 12,75,26,690512,,0,4,0,0.05333333333
Night,Quận 5,174,159,4496635,1.261290323,0,7,0,0.04022988506
Night,Bình Thạnh,324,296,10137258,1.276666667,5,18,0,0.07098765432
Night,Gò Vấp,110,71,2181121,1.166666667,0,6,0,0.05454545455
Night,Hóc Môn,13,3,85526,,0,1,0,0.07692307692
Night,Quận 10,120,113,3176649,1.39,0,12,0,0.1
Night,Quận 11,48,34,851547,1.375,0,1,0,0.02083333333
Night,Quận 9,70,19,667596,,0,3,0,0.04285714286
Night,Quận 3,60,57,1650420,1.3,0,3,0,0.05
Night,Quận 2,69,26,849788,,0,0,0,0
Night,Quận 7,101,84,2423371,1.3,0,8,0,0.07920792079
Night,Bình Chánh,43,19,479344,,1,0,0,0.02325581395
Night,Thủ Đức,135,47,1403479,1.24,0,5,0,0.03703703704
Night,Nhà Bè,15,7,249570,,0,0,0,0
Night,Quận 1,233,225,5869052,1.369230769,0,20,0,0.08583690987
Night,Binh Tan,119,71,2197127,1.357142857,0,6,0,0.05042016807
Night,Quận 4,144,133,4225803,1.344,0,14,2,0.1111111111
Night,Quận 10,185,176,5538761,1.3,0,5,0,0.02702702703
Night,Quận 12,205,127,4684430,1.272727273,2,7,0,0.04390243902
Night,Quận 5,234,222,7899584,1.411764706,1,10,0,0.04700854701
Night,Quận 6,64,56,1705959,1.2,0,1,0,0.015625
Night,Bình Thạnh,764,706,23503067,1.455,24,47,2,0.09554973822
